               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.022172,           0.0078031,          0.00017417,             0.96251,             0.94429,             0.97404,             0.76708,            0.016793,           0.0053384,          0.00014976,            0.006106,            0.006106,            0.006106
                 120,            0.022749,           0.0081334,          0.00016153,             0.96314,             0.94849,             0.97504,             0.76642,            0.016811,           0.0053605,          0.00014056,            0.006073,            0.006073,            0.006073
                 121,            0.022542,           0.0083934,          0.00016953,             0.96613,             0.94649,             0.97412,             0.76526,            0.016779,           0.0053583,          0.00015198,             0.00604,             0.00604,             0.00604
                 122,            0.022933,           0.0082246,          0.00018246,             0.95662,             0.95479,             0.97365,             0.77087,            0.016616,           0.0052995,           0.0001424,            0.006007,            0.006007,            0.006007
                 123,            0.022337,           0.0083279,          0.00015047,             0.95973,             0.93582,             0.97421,             0.76667,            0.016873,           0.0054746,          0.00014028,            0.005974,            0.005974,            0.005974
                 124,            0.022466,           0.0079102,          0.00016723,             0.95852,             0.94157,             0.97444,             0.76562,            0.016853,           0.0053687,          0.00015927,            0.005941,            0.005941,            0.005941
                 125,             0.02165,           0.0080816,          0.00015964,              0.9565,             0.94526,             0.97359,             0.76741,            0.016764,           0.0054645,          0.00014505,            0.005908,            0.005908,            0.005908
                 126,            0.022572,            0.007786,          0.00013607,             0.96361,             0.94743,             0.97449,               0.762,             0.01723,           0.0054251,          0.00014537,            0.005875,            0.005875,            0.005875
                 127,            0.022276,           0.0081576,          0.00015973,             0.95509,             0.94249,             0.97211,              0.7598,            0.016825,           0.0054545,          0.00015432,            0.005842,            0.005842,            0.005842
                 128,            0.022643,           0.0080227,           0.0001474,             0.97114,             0.94152,             0.97286,             0.76857,            0.016771,           0.0053498,          0.00013446,            0.005809,            0.005809,            0.005809
                 129,            0.021534,           0.0079125,          0.00015684,             0.96687,             0.94122,             0.97383,             0.76938,            0.016716,           0.0053103,          0.00013806,            0.005776,            0.005776,            0.005776
                 130,             0.02223,           0.0079205,          0.00013592,             0.96478,             0.95853,             0.97693,             0.77305,            0.016575,           0.0053012,          0.00013092,            0.005743,            0.005743,            0.005743
                 131,            0.022175,           0.0078281,          0.00015954,              0.9632,             0.95027,             0.97567,             0.77355,            0.016458,           0.0053448,          0.00015536,             0.00571,             0.00571,             0.00571
                 132,            0.021837,            0.007857,          0.00015605,             0.96736,             0.94582,             0.97502,             0.77193,            0.016673,           0.0053026,          0.00015814,            0.005677,            0.005677,            0.005677
                 133,            0.021744,           0.0076915,          0.00015726,              0.9651,             0.94451,             0.97532,             0.76951,            0.016462,           0.0053351,          0.00012687,            0.005644,            0.005644,            0.005644
                 134,            0.022037,           0.0077603,          0.00016872,             0.96688,             0.95239,             0.97705,              0.7707,            0.016502,           0.0052731,          0.00015721,            0.005611,            0.005611,            0.005611
                 135,            0.021815,           0.0076899,          0.00019305,              0.9667,             0.94514,             0.97632,             0.77315,            0.016498,           0.0052843,          0.00013052,            0.005578,            0.005578,            0.005578
                 136,            0.022243,           0.0079899,          0.00014429,               0.959,              0.9303,              0.9712,             0.75526,            0.017234,            0.005567,          0.00013484,            0.005545,            0.005545,            0.005545
                 137,            0.022597,           0.0078508,          0.00015515,             0.96574,             0.94802,             0.97563,             0.77876,            0.016342,           0.0052954,          0.00014398,            0.005512,            0.005512,            0.005512
